Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR25266137_trim.1	SRR25266137_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26258.0	0.0	45-151	45.0	38.232157818569576	132.82203518927565	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266137_trim.2	SRR25266137_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26258.0	0.0	45-151	45.0	38.9367050041892	132.52345951709955	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266138_trim.1	SRR25266138_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10835.0	0.0	45-151	44.0	61.19981541301338	131.3439778495616	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266138_trim.2	SRR25266138_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10835.0	0.0	45-151	44.0	66.58975542224273	128.904937701892	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266139_trim.1	SRR25266139_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16606.0	0.0	45-151	44.0	45.664217752619535	131.41135734072023	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266139_trim.2	SRR25266139_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16606.0	0.0	45-151	44.0	46.748163314464655	131.24153920269782	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266140_trim.1	SRR25266140_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33590.0	0.0	45-151	44.0	35.39743971420066	134.36129800535875	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266140_trim.2	SRR25266140_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33590.0	0.0	45-151	44.0	36.78773444477523	133.83584400119082	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR25266141_trim.1	SRR25266141_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18748.0	0.0	45-151	43.0	46.51162790697674	130.87470663537445	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266141_trim.2	SRR25266141_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18748.0	0.0	45-151	44.0	60.566460422445054	125.48575848090464	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR25266142_trim.1	SRR25266142_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55583.0	0.0	45-151	44.0	31.2505622222622	134.91724088300379	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266142_trim.2	SRR25266142_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55583.0	0.0	45-151	44.0	32.499145422161455	134.37761545796377	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266143_trim.1	SRR25266143_trim.1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34909.0	0.0	45-151	44.0	39.236300094531494	135.89343722249276	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR25266143_trim.2	SRR25266143_trim.2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34909.0	0.0	45-151	44.0	40.62562662923601	135.47397519264373	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
